time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112034, 431, -94, 1022, -134, 58, 518, 0.013484
1574112034, 390, 51, 558, 368, 261, 659, 0.013467
1574112034, 240, 10, 847, 337, 314, 800, 0.013705
1574112034, 601, -190, 1281, -183, 141, 741, 0.013504
1574112034, 819, -252, 1434, 66, -40, 474, 0.013442
1574112034, 822, -204, 1687, 562, -433, 73, 0.013419
1574112034, 704, -104, 1782, 679, -937, -385, 0.013436
1574112034, 204, 157, 1398, 784, -1188, -580, 0.013440
1574112034, -272, 556, 1180, 708, -1057, -263, 0.013469
1574112034, -318, 484, 1538, 299, -533, 272, 0.013536
1574112034, -332, 582, 1845, -394, -339, 742, 0.013651
1574112034, -350, 473, 2179, -972, 48, 909, 0.013433
1574112034, -445, 40, 3452, -1541, -383, 828, 0.013412
1574112034, -502, 71, 3423, -1183, -905, 734, 0.013433
1574112034, -410, 286, 3223, -516, -1136, 857, 0.013412
1574112034, -59, 348, 3388, -668, -825, 1087, 0.013439
1574112034, 430, 194, 3562, -1035, -140, 1143, 0.013457
1574112034, 502, 155, 3755, -1033, 126, 908, 0.013685
1574112034, 340, 146, 3708, -896, 438, 690, 0.013419
1574112034, 260, -33, 4128, -890, 167, 464, 0.013434
1574112034, 264, 50, 3676, -488, -39, 303, 0.013430
1574112035, 203, 133, 3653, -162, -196, 199, 0.013418
1574112035, 300, 82, 3582, -406, -369, 67, 0.013442
1574112035, 278, 91, 3163, -400, -77, 29, 0.013424
1574112035, 207, 28, 3296, -187, 141, 18, 0.013491
1574112035, 131, -6, 3158, -74, 51, -67, 0.013655
1574112035, 188, 11, 2833, 153, 77, -151, 0.013481
1574112035, 155, 97, 2552, 343, 113, -223, 0.013451
1574112035, 149, 116, 2340, 268, 247, -248, 0.013436
1574112035, 106, 78, 2302, 92, 251, -274, 0.013415
1574112035, 133, -14, 2271, 95, 279, -289, 0.013445
1574112035, 138, 24, 2001, 332, 366, -256, 0.013429
1574112035, 132, 27, 1972, 483, 506, -243, 0.013488
1574112035, 165, 60, 1999, 478, 400, -292, 0.013665
1574112035, 100, 147, 1774, 452, 307, -275, 0.013416
1574112035, 94, 151, 1743, 322, 309, -187, 0.013478
1574112035, 147, 99, 1707, 186, 293, -169, 0.013479
1574112035, 165, 75, 1712, 197, 225, -226, 0.013497
1574112035, 230, 80, 1759, 211, 132, -287, 0.013457
1574112035, 194, 162, 1514, 264, 171, -299, 0.013507
