time, roll, pitch, heading 
1574070991.818699, -167.253189, -8.768983, 0.000000
1574070991.831507, -166.885376, -7.854628, 0.000000
1574070991.845617, -166.854828, -7.018847, 0.000000
1574070991.858822, -166.846359, -7.907791, 0.000000
1574070991.871750, -166.136765, -6.998194, 0.000000
1574070991.885870, -166.134827, -7.855666, 0.000000
1574070991.898880, -166.258484, -6.920364, 0.000000
1574070991.911652, -166.641281, -5.926895, 0.000000
1574070991.929615, -166.673340, -4.718897, 0.000000
1574070991.939150, -165.705460, -5.359864, 0.000000
1574070991.952265, -164.710266, -5.960116, 0.000000
1574070991.965339, -164.499756, -6.703153, 0.000000
1574070991.979547, -163.805847, -6.886711, 0.000000
1574070991.992631, -164.180740, -7.425450, 0.000000
1574070992.005684, -164.580261, -8.106974, 0.000000
1574070992.018535, -165.170364, -7.086899, 0.000000
1574070992.032777, -164.551895, -5.540915, 0.000000
1574070992.045898, -164.877945, -3.964208, 0.000000
1574070992.059988, -164.017487, -4.286616, 0.000000
1574070992.073209, -163.065598, -4.731284, 0.000000
1574070992.086380, -163.505325, -4.289499, 0.000000
1574070992.100405, -163.187561, -4.750659, 0.000000
1574070992.113170, -161.598724, -4.381855, 0.000000
1574070992.126175, -160.635178, -4.939717, 0.000000
1574070992.142738, -159.082794, -4.693172, 0.000000
1574070992.154658, -158.729263, -3.465681, 0.000000
1574070992.166506, -158.283646, -2.357140, 0.000000
1574070992.180615, -157.978806, -2.305698, 0.000000
1574070992.193557, -155.911118, -2.162791, 0.000000
1574070992.207846, -154.829865, -2.907460, 0.000000
1574070992.220816, -154.626602, -3.057217, 0.000000
1574070992.237258, -154.422287, -3.304695, 0.000000
1574070992.247988, -152.730392, -2.653280, 0.000000
1574070992.260948, -151.615036, -1.682828, 0.000000
1574070992.274283, -150.745773, -0.724409, 0.000000
1574070992.290946, -150.813522, -0.331370, 0.000000
1574070992.300291, -150.494019, -1.097149, 0.000000
1574070992.314487, -150.561005, -1.620874, 0.000000
1574070992.327660, -150.686981, -1.311146, 0.000000
1574070992.342153, -149.565201, -0.411575, 0.000000
1574070992.355385, -148.635254, 0.683315, 0.000000
1574070992.368452, -148.113419, 0.072743, 0.000000
1574070992.381517, -147.633041, -0.383500, 0.000000
1574070992.394651, -145.815369, -0.956635, 0.000000
1574070992.410232, -143.851059, -1.359857, 0.000000
1574070992.422261, -142.151871, -2.003748, 0.000000
1574070992.439743, -141.440308, -1.031542, 0.000000
1574070992.450534, -140.933609, -1.078580, 0.000000
1574070992.463483, -139.031784, -0.829250, 0.000000
1574070992.476659, -137.408707, -0.857608, 0.000000
1574070992.489483, -136.056595, -0.801218, 0.000000
1574070992.502621, -136.244568, -0.440160, 0.000000
1574070992.515656, -136.299210, 0.181960, 0.000000
1574070992.529508, -135.869797, 1.196895, 0.000000
1574070992.543641, -135.007858, 2.063394, 0.000000
1574070992.556455, -134.683838, 3.329226, 0.000000
1574070992.570746, -134.776154, 2.907040, 0.000000
1574070992.583793, -135.081360, 2.859312, 0.000000
1574070992.597812, -135.348816, 3.230413, 0.000000
1574070992.611163, -135.463440, 4.084337, 0.000000
1574070992.624298, -135.134048, 3.985797, 0.000000
1574070992.637376, -133.945251, 3.726459, 0.000000
1574070992.650546, -133.269302, 3.227740, 0.000000
1574070992.664590, -132.926361, 4.483944, 0.000000
1574070992.677378, -132.697861, 5.492756, 0.000000
1574070992.690602, -132.359497, 6.605293, 0.000000
1574070992.703943, -130.615997, 7.316793, 0.000000
1574070992.717382, -128.895233, 8.164955, 0.000000
1574070992.731628, -127.423180, 8.207135, 0.000000
1574070992.757110, -126.081947, 8.733299, 0.000000
1574070992.758507, -126.241646, 9.330364, 0.000000
1574070992.772463, -126.386993, 9.513632, 0.000000
1574070992.784145, -126.381233, 9.673590, 0.000000
1574070992.798400, -124.833412, 9.690071, 0.000000
1574070992.811597, -123.355331, 9.949844, 0.000000
1574070992.825987, -122.043694, 9.940794, 0.000000
1574070992.838859, -120.996338, 9.990681, 0.000000
1574070992.852972, -121.590538, 10.135707, 0.000000
1574070992.865886, -121.962959, 9.800952, 0.000000
1574070992.878949, -122.190826, 9.467648, 0.000000
1574070992.892089, -122.227806, 9.302732, 0.000000
1574070992.906296, -120.698265, 8.915310, 0.000000
1574070992.919134, -119.248558, 9.119798, 0.000000
1574070992.932324, -118.373589, 9.994203, 0.000000
1574070992.946601, -117.461670, 10.483607, 0.000000
1574070992.963029, -117.950562, 10.841332, 0.000000
1574070992.973831, -118.201057, 10.848916, 0.000000
1574070992.986914, -118.115784, 10.834508, 0.000000
